O3,CO,NO,NO2,Nox,SO2,PM10,PM2.5
23.5,3.57,245.844,52.494,289.561,5.601,72.051,
27.315,5.517,270.893,66.654,330.912,7.507,89.216,
28.703,3.35,193.029,61.565,255.467,6.225,85.318,
32.587,2.091,92.585,46.747,137.99,5.294,109.163,
22.761,1.536,96.031,48.538,144.186,6.189,98.196,
27.454,1.443,65.868,45.12,110.95,6.999,110.222,
24.922,1.689,104.157,45.513,149.603,7.625,99.454,
27.153,2.484,146.434,52.351,198.741,6.463,78.954,
28.629,2.059,122.614,50.927,177.222,6.437,72.039,
26.265,1.347,61.244,38.918,100.034,4.841,79.081,
29.487,2.245,157.554,51.436,208.776,8.114,93.578,
27.187,1.782,102.896,45.971,148.363,8.965,91.79,
23.164,2.528,163.075,51.98,214.654,8.615,82.214,
23.349,1.983,141.997,43.27,184.202,9.493,66.908,
23.239,3.234,206.317,58.68,259.375,12.03,88.538,
16.273,2.705,187.815,56.457,246.392,8.372,94.637,
19.578,2.817,239.107,57.247,296.823,11.221,88.752,
23.386,1.674,97.136,50.756,147.723,5.042,87.328,
19.843,1.601,82.806,46.609,129.364,8.618,78.364,
20.164,1.91,131.044,47.033,176.198,5.618,71.779,
19.937,3.124,251.896,52.725,301.61,9.314,88.873,
24.512,3.353,231.914,57.718,292.454,7.834,95.109,
18.522,2.305,149.517,56.823,208.96,5.392,103.586,
20.448,0.944,20.574,28.425,48.999,4.56,125.983,
20.294,0.79,15.175,27.102,42.246,9.231,74.737,
22.025,0.931,34.723,30.784,65.368,9.036,48.761,
21.352,1.709,93.447,43.125,136.51,6.93,68.936,
21.3,3.118,226.097,48.045,273.839,8.259,92.763,
17.295,2.18,147.549,42.248,189.655,6.604,98.673,
19.393,1.199,42.218,36.35,78.047,5.633,109.778,
15.69,1.382,57.364,42.37,98.791,4.344,53.42,
18.277,1.217,64.697,37.272,101.561,6.059,60.432,
15.269,1.203,49.603,39.215,88.47,4.138,48.711,
14.318,1.129,44.451,38.285,82.677,4.102,51.936,
15.311,1.037,35.421,32.403,67.266,2.734,45.484,
16.426,1.537,99.018,42.2,138.432,6.395,,
21.298,2.057,167.978,60.031,225.976,8.505,,
23.848,2.761,240.258,69.031,312.859,8.41,,
22.589,2.827,250.566,83.019,333.478,12.035,133.778,
20.09,3.925,388.836,94.66,491.167,9.752,148.806,
19.97,3.575,334.387,100.632,434.379,8.825,142.83,
28.991,3.225,291.824,87.433,378.915,11.156,137.323,
28.523,3.374,311.781,83.504,393.366,8.163,123.326,
23.817,4.002,373.178,85.378,458.072,11.362,110.016,
21.693,4.741,396.852,84.913,481.376,8.54,115.775,
21.57,4.63,450.959,107.267,558.499,10.443,144.061,
25.644,3.68,325.852,84.384,406.536,7.477,123.146,
22.743,2.451,179.007,68.748,250.651,4.249,112.677,
30.021,2.374,210.344,67.568,274.383,7.586,117.827,
25.187,2.44,201.395,67.93,264.4,8.25,112.264,
32.246,3.09,258.879,75.36,334.458,8.395,127.479,
26.308,3.757,327.628,89.418,416.643,8.571,130.405,
18.779,3.303,313.146,94.91,407.817,8.606,150.627,
20.521,3.641,333.071,81.665,413.459,10.779,136.798,
20.397,2.863,299.39,68.202,366.592,7.257,106.899,
23.021,3.473,295.987,75.359,370.331,6.605,116.129,
26.302,4.369,399.604,98.27,505.387,10.732,140.645,
21.753,4.822,415.037,97.34,517.578,10.277,203.184,
21.085,5.157,421.617,99.657,522.189,9.318,155.288,
26.294,4.692,422.159,95.166,516.065,14.883,167.317,
20.517,3.815,353.044,91,445.084,11.202,148.341,
13.251,4.341,336.637,74.309,407.792,9.473,122.183,
,,321.759,71.66,389.449,9.87,122.166,
,,246.083,67.164,313.191,7.677,118.447,
4.563,1.299,26.336,30.319,56.654,2.39,48.819,
11.995,1.557,93.803,45.473,139.202,8.339,81.179,
10.212,1.996,104.327,58.044,162.277,6.388,97.737,
7.114,2.007,121.489,50.212,170.213,3.689,87.602,
5.375,1.541,83.39,41.147,124.507,5.503,63.651,
7.635,0.817,23.488,30.046,53.535,3.217,34.035,
9.115,1.349,68.98,39.827,108.793,5.432,51.083,
12.616,1.365,88.395,41.745,130.068,5.818,63.196,
10.821,1.198,64.619,46.009,110.437,8.666,61.602,
9.843,1.43,62.603,49.964,112.536,7.094,59.6,
7.278,1.917,123.8,50.817,172.883,8.509,91.532,
7.863,1.221,58.707,44.228,102.874,7.094,63.609,
17.593,0.692,18.915,34.506,53.422,8.143,36.255,
4.953,1.642,71.331,47.313,118.578,3.577,41.926,
5.873,1.207,47.236,40.945,88.124,3.193,39.711,
6.336,1.213,48.588,42.962,91.521,24.828,78.543,
7.4,1.458,69.238,43.91,113.09,10.487,91.538,
9.822,1.243,50.631,44.946,95.517,7.106,90.982,
5.855,1.423,65.626,54.942,120.502,20.774,133.541,
7.39,1.938,86.134,46.865,132.946,4.397,67.334,
5.912,1.457,88.203,46.276,134.416,16.192,73.189,
5.554,1.351,61.291,45.513,106.727,5.827,34.752,
8.467,1.766,80.863,49.195,130.008,5.8,66.736,
8.546,2.696,173.58,69.949,243.374,9.596,134.662,
9.041,2.195,160.982,76.704,236.989,8.773,186.106,
5.606,2.055,118.553,58.077,176.601,8.365,113.624,
8.736,2.078,132.657,46.887,179.473,17.25,92.322,
8.604,1.73,100.487,55.295,155.612,14.346,107.067,
10.958,1.103,33.52,44.915,77.537,10.248,31.375,
5.081,2.214,128.761,49.806,177.71,5.656,40.344,
6.36,2.851,218.988,62.097,276.139,10.341,99.458,
7.672,3.053,212.364,69.346,275.668,8.595,133.976,
7.143,2.527,155.434,60.725,211.566,8.305,122.053,
8.802,1.542,77.789,47.396,113.5,5.205,78.023,
7.883,2.003,131.975,53.757,175.903,11.003,81.099,
8.173,1.969,124.028,59.024,167.591,18.62,120.921,
9.271,1.894,119.088,56.184,171.413,12.073,143.197,
11.324,1.243,50.837,57.796,106.679,15.132,122.162,
6.953,1.858,104.556,68.129,172.493,12.217,102.736,
6.602,2.151,134.701,83.176,217.849,16.556,122.02,
6.727,1.338,49.032,62.188,111.22,15.216,125.303,
8.606,2.074,125.112,53.728,178.676,6.179,82.669,
10.483,1.998,159.791,60.62,220.158,10.239,97.022,
10.324,2.35,165.8,61.194,231.898,6.783,94.35,
7.914,2.519,194.197,75.438,269.174,16.539,144.497,
7.251,1.436,92.665,67.677,160.315,21.989,117.313,
